model_id,category,canonical_title,all_titles,num_variants,min_price,all_prices,num_sources
2035,בובות,I Am Toys סט 4 בובות תאטרון סיפורי אגדות - אלאדין,I Am Toys סט 4 בובות תאטרון סיפורי אגדות - אלאדין,1,98.0,98.0,1
2061,בובות,Sylvanian Families משפ' סילבניאן - מרפאה,Sylvanian Families משפ' סילבניאן - מרפאה ||| Sylvanian Families משפ' סילבניאן - גן שעשועים טירה,2,95.0,"95.0, 275.0",2
2108,ברזים,Aquila ברז פרח קצר COLOMBA כרום ניקל AQUILA,Aquila ברז פרח קצר COLOMBA כרום ניקל AQUILA,1,220.0,220.0,1
523934,ברזים,‏ברז פרח 900142 רותם  ‏חמת,‏ברז פרח 900142 רותם  ‏חמת,1,249.0,249.0,1
523940,ברזים,‏ברז פרח 900153 רותם  ‏חמת,"‏ברז פרח 900153 רותם  ‏חמת ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| לבית לגן ולמשרד‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| ברז פרח 900153 רותם חמת ||| ברז למטבח פיה ארוכה 900153 חמת ||| ברז חמת ניצב פיה ארוכה רותם Rotem 900153 ||| ברז מטבח 900153 פיה ארוכה מסתובבת כרום חמת ||| ברז מטבח חמת רותם 900153 עם פיה ארוכה מסתובבת ||| רותם ברז מטבח פיה ארוכה חמת דגם 900153 ||| ‏ברז פרח 900153 רותם ‏חמת ||| ברזי מטבח ניצבים ||| ברז בעמידה פיה ארוכה מסתובבת סדרת רותם Rotem דגם 900153 מבית חמת ||| ברז בעמידה פיה ארוכה מסתובבתברזי מטבח ניצבים-חמת 900153 חמת ||| ברז מטבח חמת ניצב פיה ארוכה רותם Rotem 900153 ||| ברזי מטבח ניצבים Rotem 900153 ||| ארונות אמבטיה ||| מקלחונים ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",46,255.0,"255.0, 257.0, 261.0, 290.0, 318.0, 326.0, 336.0, 348.0, 376.0, 395.0, 450.0",46
523942,ברזים,‏ברז סוללה 900521 רותם  ‏חמת,‏ברז סוללה 900521 רותם  ‏חמת,1,299.0,299.0,1
523948,ברזים,‏ברז פרח 900523 רותם  ‏חמת,‏ברז פרח 900523 רותם  ‏חמת,1,280.0,280.0,1
523951,ברזים,‏ברז פרח 900522 רותם  ‏חמת,"‏ברז פרח 900522 רותם  ‏חמת ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| לבית לגן ולמשרד‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| ‏ברז פרח 900522 רותם ‏חמת ||| ברז ברבור ארוך חמת 900522 ||| חמת ברז מטבח פיה מסתובבת סדרת רותם 900522 ||| ברז מטבח 900522 רותם 45 מע' פיית ברבור ארוכה מסתובבת כרום חמת ||| ברז בעמידה 45 מע' פיית ברבור ארוכה מסתובבת סדרת רותם Rotem דגם 900522 מבית חמת ||| ברז בעמידה 45 מע פיית ברבור ארוכה מסתובבתברזי מטבח ניצבים-חמת 900522 חמת ||| ברזי מטבח ניצבים ||| ברז מטבח פיית ברבור ארוכה מסתובבת 900522 רותם Rotem חמת - חמת - מ""ל ||| רותם ברבור פייה ארוכה ברז מטבח חמת דגם 900522 ||| ברז פרח 900522 רותם חמת ||| ברז מטבח ניצב ברבור ארוך Rotem 900522 ||| ברזי מטבח ניצבים Rotem 900522 ||| ארונות אמבטיה ||| מקלחונים ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",46,299.0,"299.0, 300.0, 301.0, 309.0, 336.0, 358.0, 364.0, 371.0, 373.0, 438.0, 550.0",46
523953,ברזים,‏ברז סוללה 900175 רותם  ‏חמת,‏ברז סוללה 900175 רותם  ‏חמת,1,326.0,326.0,1
523972,ברזים,‏ברז נשלף 900161 רותם  ‏חמת,‏ברז נשלף 900161 רותם  ‏חמת,1,374.0,374.0,1
675923,"מקדחות, מברגות ופטישונים",‏פטיש חציבה/קידוח Bosch GSH11E,"‏פטיש חציבה/קידוח Bosch GSH11E ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| לבית לגן ולמשרד‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| פטיש חציבה 11 ק""ג BOSCH ||| פטיש חציבה לבטון בוש BOSCH 11316 GSH 11 E ||| פטיש חציבה לבטון GSH 11 E מבית Bosch ||| פטיש חציבה חשמלי 11 ק''ג BOSCH GSH 11 E 1500W בוש ||| פטיש חציבה לבטון 1500W GSH 11 E ||| פטיש Bosch GSH11E בוש ||| פטיש חציבה 1500W ||| פטיש חציבה GSH11E Bosch ||| פטיש חציבה+‎סט אביזרים BOSCH ||| פטיש חציבה לבטון בוש BOSCH GSH 11 E ||| פטיש חציבה לעומס גבוה GSH 11 E ||| פטיש חציבה דגם GSH 11 E מבית BOSCH ||| פטיש חציבה חשמלי 11 ק""ג BOSCH GSH 11 E 1500W ||| פטיש חציבה לבטון בוש BOSCH , GSH 11 E ||| קומפרסורים ||| גנרטורים ||| כלי עבודה ||| כלי גינון ||| ארגזי כלים ||| מוצרים נוספים של Bosch בזאפ ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",52,2272.0,"2272.0, 2348.0, 2349.0, 2350.0, 2399.0, 2450.0, 2490.0, 2525.0, 2549.0, 2550.0, 2579.0, 3397.0",52
676074,"מקדחות, מברגות ופטישונים",‏פטישון Makita HR2470,‏פטישון Makita HR2470,1,559.0,559.0,1
718285,הגיינת הפה,‏משחת שיניים Weleda Ratanhia Toothpaste 75ml,‏משחת שיניים Weleda Ratanhia Toothpaste 75ml,1,34.0,34.0,1
718286,הגיינת הפה,‏משחת שיניים Weleda Salt Toothpaste 75ml,"‏משחת שיניים Weleda Salt Toothpaste 75ml ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| טיפוח יופי ובריאות‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| ‎משחת שיניים מלחית, 75 מ״ל, WELEDA‎ ||| וולדה | משחת שיניים מלחית | מכיל 75 מ""ל | וולדה | Weleda ||| משחת שיניים Salt Toothpaste 75ml Weleda ||| משחת שיניים מלחית וולדה Weleda ||| חיטוי והיגיינה אישית ||| הפסקת עישון ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",38,28.0,"28.0, 45.0, 48.0, 57.0",38
718288,הגיינת הפה,‏משחת שיניים Weleda Calendula Toothpaster 75ml,‏משחת שיניים Weleda Calendula Toothpaster 75ml,1,27.0,27.0,1
733927,ברזים,‏ברז פרח Grohe Essence L 32628 24174,‏ברז פרח Grohe Essence L 32628 24174,1,730.0,730.0,1
733957,ברזים,‏ברז נשלף 32168000 מינטה Grohe,‏ברז נשלף 32168000 מינטה Grohe,1,680.0,680.0,1
741984,ברזים,‏ברז נשלף 304669  ‏חמת,‏ברז נשלף 304669  ‏חמת,1,869.0,869.0,1
786886,ברזים,‏ברז נשלף 304664  ‏חמת,‏ברז נשלף 304664  ‏חמת,1,685.0,685.0,1
786887,ברזים,‏ברז נשלף 304668  ‏חמת,‏ברז נשלף 304668  ‏חמת,1,739.0,739.0,1
790197,דיו וטונרים,‏טונר  ‏שחור Brother TN2220,‏טונר  ‏שחור Brother TN2220,1,341.0,341.0,1
796375,"מקדחות, מברגות ופטישונים",‏פטיש חציבה/קידוח Makita HM0870C,‏פטיש חציבה/קידוח Makita HM0870C,1,1387.0,1387.0,1
818973,"מקדחות, מברגות ופטישונים",‏פטיש חציבה/קידוח Makita HM1203C,‏פטיש חציבה/קידוח Makita HM1203C,1,2013.0,2013.0,1
824357,ברזים,‏ברז פרח 23095000 Grohe,‏ברז פרח 23095000 Grohe,1,435.0,435.0,1
831313,מגברים לרכב,מגבר לרכב Premier PA654,מגבר לרכב Premier PA654,1,190.0,190.0,1
831314,מגברים לרכב,מגבר לרכב Premier PA854,מגבר לרכב Premier PA854,1,234.0,234.0,1
856227,הגיינת הפה,‏מנקה לשון 2689 Paro,"‏מנקה לשון 2689 Paro ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| טיפוח יופי ובריאות‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| מנקה לשון | פארו ||| מנקה לשון 2689 ||| Paro 2689 - מנקה לשון ||| מנקה לשון, פארו 2689 ||| חיטוי והיגיינה אישית ||| הפסקת עישון ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",38,23.0,"23.0, 26.0, 45.0, 46.0",38
856228,הגיינת הפה,‏קיסמים 1751 Paro,‏קיסמים 1751 Paro,1,25.0,25.0,1
856233,הגיינת הפה,‏קיסמים 1750 Paro,‏קיסמים 1750 Paro,1,25.0,25.0,1
861238,מגברים לרכב,מגבר לרכב Rockford P400X4,מגבר לרכב Rockford P400X4,1,1100.0,1100.0,1
872795,דיו וטונרים,‏ראש דיו  ‏שחור Canon PG545XL,‏ראש דיו  ‏שחור Canon PG545XL ||| דיו שחור מקורי Canon PG-545XL,2,115.0,"115.0, 171.0",2
875076,מגברים לרכב,מגבר לרכב JBL GXA604,מגבר לרכב JBL GXA604,1,689.0,689.0,1
877520,מגברים לרכב,מגבר לרכב Premier PA1004,מגבר לרכב Premier PA1004,1,940.0,940.0,1
880001,"מקדחות, מברגות ופטישונים",‏פטיש חציבה/קידוח Makita HM 1101C,‏פטיש חציבה/קידוח Makita HM 1101C,1,1813.0,1813.0,1
