raw_title,price,model_id,category,sog,source_url,source_type
מגבר לרכב Pioneer GM-A6704,420.0,938139,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=938139,comparison
מגבר לרכב Premier PS754,200.0,962304,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=962304,comparison
מגבר לרכב Alpine BBXF1200,420.0,891873,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=891873,comparison
מגבר לרכב Premier PA654,190.0,831313,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=831313,comparison
מגבר לרכב Premier PA854,234.0,831314,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=831314,comparison
מגבר לרכב Premier PA5000,340.0,1106011,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1106011,comparison
מגבר לרכב Focal AP4340,500.0,947302,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=947302,comparison
מגבר לרכב Premier PS954,280.0,1195891,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1195891,comparison
מגבר לרכב Nakamichi NKSA60.4,389.0,1079692,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1079692,comparison
מגבר לרכב Morel MPS 4.400,1000.0,1129518,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1129518,comparison
מגבר לרכב JBL GXA604,689.0,875076,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=875076,comparison
מגבר לרכב Infinity Reference 3004A,620.0,1107182,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1107182,comparison
מגבר לרכב Pioneer GMD8704,799.0,1079600,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1079600,comparison
מגבר לרכב Alpine SA55V,1180.0,1079699,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1079699,comparison
מגבר לרכב Nakamichi NKTA75.6,690.0,1092049,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1092049,comparison
מגבר לרכב Morel MPS 1.550,1000.0,1129519,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1129519,comparison
מגבר לרכב Infinity Reference 704A,750.0,1107334,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1107334,comparison
מגבר לרכב Pioneer GMD8701,930.0,1079636,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1079636,comparison
מגבר לרכב Premier PA1004,940.0,877520,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=877520,comparison
מגבר לרכב Rockford P400X4,1100.0,861238,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=861238,comparison
מגבר לרכב Rockford R2-300X4,1100.0,1118727,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1118727,comparison
מגבר לרכב Rockford R2500X1,1157.0,1154592,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1154592,comparison
מגבר לרכב Pioneer GMD9701,1159.0,1079612,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1079612,comparison
מגבר לרכב Pioneer GMD9704,1159.0,1079614,מגברים לרכב,t-amplifier,https://www.zap.co.il/model.aspx?modelid=1079614,comparison
כל הקטגוריות,,1107334,מגברים לרכב,,https://www.zap.co.il/model.aspx?modelid=1107334,store_variant
חשמל ואלקטרוניקה,,1107334,מגברים לרכב,,https://www.zap.co.il/model.aspx?modelid=1107334,store_variant
לבית ולגן,,1107334,מגברים לרכב,,https://www.zap.co.il/model.aspx?modelid=1107334,store_variant
פנאי וספורט,,1107334,מגברים לרכב,,https://www.zap.co.il/model.aspx?modelid=1107334,store_variant
בריאות ויופי,,1107334,מגברים לרכב,,https://www.zap.co.il/model.aspx?modelid=1107334,store_variant
