raw_title,price,model_id,category,source_type,transform,original_title
מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים,359.0,2309,מכונות קפה,seed,original,מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים
קנו ב-zapstore,359.0,2309,מכונות קפה,zap_variant,real_variant,מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים
קנו עכשיו,359.0,2309,מכונות קפה,zap_variant,real_variant,מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים
מזגן עילי אינוורטר אלקטרה דגם ELECTRA A INV 140,1270.0,2359,מזגנים,seed,original,מזגן עילי אינוורטר אלקטרה דגם ELECTRA A INV 140
קנו ב-zapstore,1270.0,2359,מזגנים,zap_variant,real_variant,מזגן עילי אינוורטר אלקטרה דגם ELECTRA A INV 140
Tadiran מזגן עילי אינוורטר ספרה דגם INV 15 NG,1270.0,2359,מזגנים,zap_variant,real_variant,מזגן עילי אינוורטר אלקטרה דגם ELECTRA A INV 140
קנו עכשיו,1270.0,2359,מזגנים,zap_variant,real_variant,מזגן עילי אינוורטר אלקטרה דגם ELECTRA A INV 140
מכונת קפה Ninja Luxe Essential ES601EU,1390.0,2541,מכונות קפה,seed,original,מכונת קפה Ninja Luxe Essential ES601EU
קנו ב-zapstore,1390.0,2541,מכונות קפה,zap_variant,real_variant,מכונת קפה Ninja Luxe Essential ES601EU
מכונת קפה Ninja Luxe Essential ES501EU,1390.0,2541,מכונות קפה,zap_variant,real_variant,מכונת קפה Ninja Luxe Essential ES601EU
קנו עכשיו,1390.0,2541,מכונות קפה,zap_variant,real_variant,מכונת קפה Ninja Luxe Essential ES601EU
"מזגן עילי תדיראן 1 כ""ס דגם Solo Inv 180 NG",1248.0,2748,מזגנים,seed,original,"מזגן עילי תדיראן 1 כ""ס דגם Solo Inv 180 NG"
קנו ב-zapstore,1248.0,2748,מזגנים,zap_variant,real_variant,"מזגן עילי תדיראן 1 כ""ס דגם Solo Inv 180 NG"
"מזגן עילי תדיראן 1.25 כ""ס דגם Sfera Inverter 15 NG",1248.0,2748,מזגנים,zap_variant,real_variant,"מזגן עילי תדיראן 1 כ""ס דגם Solo Inv 180 NG"
"Tadiran מזגן עילי תדיראן 3.5 כ""ס דגם Alpha Pro Inv 370 NG",1248.0,2748,מזגנים,zap_variant,real_variant,"מזגן עילי תדיראן 1 כ""ס דגם Solo Inv 180 NG"
קנו עכשיו,1248.0,2748,מזגנים,zap_variant,real_variant,"מזגן עילי תדיראן 1 כ""ס דגם Solo Inv 180 NG"
"Electra מזגן עילי אלקטרה 2.5 כ""ס דגם Classic Inv 340",1248.0,2748,מזגנים,zap_variant,real_variant,"מזגן עילי תדיראן 1 כ""ס דגם Solo Inv 180 NG"
"Giorgio Armani Acqua Di Gio EDT 200 ML ג'ורג'יו ארמני אקווה דה ג'יאו אדט לגבר 200 מ""ל",590.0,686320,בשמים לגבר,seed,original,"Giorgio Armani Acqua Di Gio EDT 200 ML ג'ורג'יו ארמני אקווה דה ג'יאו אדט לגבר 200 מ""ל"
קנו עכשיו,590.0,686320,בשמים לגבר,zap_variant,real_variant,"Giorgio Armani Acqua Di Gio EDT 200 ML ג'ורג'יו ארמני אקווה דה ג'יאו אדט לגבר 200 מ""ל"
בושם לגבר Chanel Bleu De Chanel 100ml E.D.T,499.0,771483,בשמים לגבר,seed,original,בושם לגבר Chanel Bleu De Chanel 100ml E.D.T
השוואה ב-7 חנויות,499.0,771483,בשמים לגבר,zap_variant,real_variant,בושם לגבר Chanel Bleu De Chanel 100ml E.D.T
השוואת מחירים,499.0,771483,בשמים לגבר,zap_variant,real_variant,בושם לגבר Chanel Bleu De Chanel 100ml E.D.T
בושם לגבר Carolina Herrera 212 Vip E.D.T 100ml,208.0,804626,בשמים לגבר,seed,original,בושם לגבר Carolina Herrera 212 Vip E.D.T 100ml
השוואה ב-12 חנויות,208.0,804626,בשמים לגבר,zap_variant,real_variant,בושם לגבר Carolina Herrera 212 Vip E.D.T 100ml
השוואת מחירים,208.0,804626,בשמים לגבר,zap_variant,real_variant,בושם לגבר Carolina Herrera 212 Vip E.D.T 100ml
בושם לגבר Montblanc Legend 100ml E.D.T,115.0,827130,בשמים לגבר,seed,original,בושם לגבר Montblanc Legend 100ml E.D.T
השוואה ב-13 חנויות,115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
השוואת מחירים,115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
"Montblanc Legend EDT 100 ML מונט בלאנק לג'נד אדט לגבר 100 מ""ל",115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
קנו עכשיו,115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
"Montblanc Legend EDT 100 ML מונט בלאנק לגנד אדט לגבר 100 מ""ל",115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
בושם לגבר מונט בלאנק MONT BLANC LEGEND 100 ML E.D.T,115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
בושם לגבר 100 מ''ל Mont Blanc Legend או דה טואלט E.D.T,115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
"לג'נד אדט לגבר 100 מ""ל - מונט בלאנק - Mont Blanc - Legend EDT For Men 100ML",115.0,827130,בשמים לגבר,zap_variant,real_variant,בושם לגבר Montblanc Legend 100ml E.D.T
