title_a,price_a,title_b,price_b,model_id_a,model_id_b,category,is_duplicate,difficulty
מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים,320.0,Essenza Mini EN85L נספרסו Nespresso צבע ליים,320.0,2309,2309,coffee_machines,True,drop_prefix
מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים,433.0,מכונת קפה אוטומטית Essenza Mini EN85L נספרסו Nespresso צבע ליים,433.0,2309,2309,coffee_machines,True,add_prefix
מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים,390.0,מכונת קפה Essenza Mini EN85L נספרסו Nespresso צבע ליים בצבע לבן,390.0,2309,2309,coffee_machines,True,color_noise
מכונת קפה Ninja Luxe Essential ES601EU,1292.0,Ninja Luxe Essential ES601EU,1292.0,2541,2541,coffee_machines,True,drop_prefix
מכונת קפה Ninja Luxe Essential ES601EU,1571.0,מכונת קפה Ninja Luxe Essential ES601EU אחריות מעבדות,1571.0,2541,2541,coffee_machines,True,seller_noise
מכונת קפה Ninja Luxe Essential ES601EU,1304.0,מכונת אספרסו Ninja Luxe Essential ES601EU,1304.0,2541,2541,coffee_machines,True,add_prefix
טלפון סלולרי (Samsung Galaxy S25 PLUS 12GB+256GB (SM-S936B/DS,3747.0,טלפון סלולרי (Samsung Galaxy S25 PLUS 12GB+256GB (SM-S936B/DS אחריות יבואן רשמי,3747.0,2547,2547,smartphones,True,seller_noise
טלפון סלולרי (Samsung Galaxy S25 PLUS 12GB+256GB (SM-S936B/DS,2992.0,טלפון סלולרי (Samsung Galaxy S25 PLUS 12GB+256GB (/DS,2992.0,2547,2547,smartphones,True,drop_part
"טלוויזיה חכמה 65"" Samsung QLED סמסונג QE65Q60D",3617.0,"טלוויזיה חכמה 65"" Samsung QLED סמסונג QE65Q60D אחריות מעבדות",3617.0,3838,3838,tvs,True,seller_noise
טלפון סלולרי Apple iPhone 15 128GB אפל,3111.0,טלפון סלולרי Apple iPhone 15 128GB אפל אחריות יבואן רשמי,3111.0,3926,3926,smartphones,True,seller_noise
טלפון סלולרי Apple iPhone 15 128GB אפל,3064.0,טלפון סלולרי Apple iPhone 15 128GB אפל בצבע שחור,3064.0,3926,3926,smartphones,True,color_noise
טלפון סלולרי Galaxy S26 Ultra SM-S948B/DS 1TB 16GB RAM Samsung סמסונג,7101.0,טלפון סלולרי Galaxy S26 U SM-S948B/DS 1TB 16GB RAM Samsung סמסונג,7101.0,6034,6034,smartphones,True,abbreviate
טלפון סלולרי Galaxy S26 Ultra SM-S948B/DS 1TB 16GB RAM Samsung סמסונג,5489.0,טלפון סלולרי Galaxy S26 Ultra /DS 1TB 16GB RAM Samsung סמסונג,5489.0,6034,6034,smartphones,True,drop_part
טלפון סלולרי Galaxy S26 Ultra SM-S948B/DS 1TB 16GB RAM Samsung סמסונג,5602.0,טלפון סלולרי Galaxy S26 Ultra SM-S948B/DS 1TB 16GB RAM Samsung סמסונג משלוח חינם,5602.0,6034,6034,smartphones,True,seller_noise
טלפון סלולרי Galaxy S26 Ultra SM-S948B/DS 1TB 16GB RAM Samsung סמסונג,5740.0,Galaxy S26 Ultra SM-S948B/DS 1TB 16GB RAM Samsung סמסונג,5740.0,6034,6034,smartphones,True,drop_prefix
אוזניות  ‏חוטיות Logitech H390,90.0,‏חוטיות Logitech H390,90.0,798961,798961,headphones,True,drop_prefix
אוזניות  ‏חוטיות Audio Technica ATH-M50x,551.0,אוזניות  ‏חוטיות Audio Technica ATH-M50x בצבע אפור,551.0,883392,883392,headphones,True,color_noise
אוזניות  ‏חוטיות Audio Technica ATH-M50x,755.0,אוזניות בלוטות' ‏חוטיות Audio Technica ATH-M50x,755.0,883392,883392,headphones,True,add_prefix
טלוויזיה Samsung QE75Q7F QLED 4K  ‏75 ‏אינטש,2901.0,טלוויזיה סמסונג QE75Q7F QLED 4K  ‏75 ‏אינטש,2901.0,940986,940986,tvs,True,brand_swap
טלוויזיה Samsung QE75Q7F QLED 4K  ‏75 ‏אינטש,3484.0,טלוויזיה Samsung QE75Q7F QLED 4K  ‏75 ‏אינטש בצבע כחול,3484.0,940986,940986,tvs,True,color_noise
טלוויזיה Samsung QE65Q7F QLED 4K  ‏65 ‏אינטש,2287.0,טלוויזיה סמסונג QE65Q7F QLED 4K  ‏65 ‏אינטש,2287.0,940990,940990,tvs,True,brand_swap
טלוויזיה Samsung QE55Q7F 4K  ‏55 ‏אינטש,1920.0,Samsung QE55Q7F 4K  ‏55 ‏אינטש,1920.0,940993,940993,tvs,True,drop_prefix
טלוויזיה Samsung QE55Q7F 4K  ‏55 ‏אינטש,1891.0,"טלוויזיה Samsung QE55Q7F 4K  ‏55 ‏""",1891.0,940993,940993,tvs,True,abbreviate
‏מכונת אספרסו Nespresso Delonghi Essenza Mini D30 EN85,426.0,Essenza Mini D30 EN85 ‏מכונת אספרסו Nespresso Delonghi,426.0,951399,951399,coffee_machines,True,reorder
‏מכונת אספרסו Nespresso Delonghi Essenza Mini D30 EN85,410.0,‏מכונת אספרסו Nespresso Delonghi Essenza Mini D30 EN85 משלוח חינם,410.0,951399,951399,coffee_machines,True,seller_noise
‏מכונת אספרסו Nespresso Delonghi Essenza Mini D30 EN85,349.0,‏מכונת אספרסו נספרסו Delonghi Essenza Mini D30 EN85,349.0,951399,951399,coffee_machines,True,brand_swap
‏מכונת אספרסו Nespresso Essenza Mini C30,537.0,‏מכונת אספרסו Nespresso Essenza Mini C30 אחריות יבואן רשמי,537.0,951669,951669,coffee_machines,True,seller_noise
‏מכונת אספרסו Nespresso Essenza Mini C30,455.0,‏מכונת אספרסו נספרסו Essenza Mini C30,455.0,951669,951669,coffee_machines,True,brand_swap
‏מכונת אספרסו Nespresso Lattissima One EN510,707.0,‏מכונת אספרסו Nespresso Lattissima One EN510 אחריות יבואן רשמי,707.0,976624,976624,coffee_machines,True,seller_noise
‏מכונת אספרסו Nespresso Lattissima One EN510,973.0,Lattissima One EN510 ‏מכונת אספרסו Nespresso,973.0,976624,976624,coffee_machines,True,reorder
‏מכונת אספרסו Nespresso Lattissima One EN510,716.0,‏מכונת אספרסו Nespresso Lattissima One EN510 בצבע לבן,716.0,976624,976624,coffee_machines,True,color_noise
‏מכונת אספרסו Delonghi ECAM21.117,1314.0,‏מכונת אספרסו Delonghi ECAM21.117 אחריות יבואן רשמי,1314.0,992748,992748,coffee_machines,True,seller_noise
‏מכונת אספרסו Delonghi ECAM21.117,1647.0,Delonghi ECAM21.117 ‏מכונת אספרסו,1647.0,992748,992748,coffee_machines,True,reorder
‏מכונת אספרסו Gaggia Besana,1113.0,‏מכונת אספרסו Gaggia Besana DCS,1113.0,1030241,1030241,coffee_machines,True,seller_noise
‏מכונת אספרסו Breville BES878,2519.0,‏מכונת אספרסו Breville BES878 בצבע כחול,2519.0,1068710,1068710,coffee_machines,True,color_noise
‏מכונת אספרסו Breville BES878,3256.0,מכונת קפה אוטומטית ‏מכונת אספרסו Breville BES878,3256.0,1068710,1068710,coffee_machines,True,add_prefix
